Victoire,Grondin,Reims,France,2019,PHP
Simone,"De Sousa",Reims,France,2019,PHP
Raymond,Renaud,Reims,France,2019,PHP
Bertrand,Mary,Reims,France,2019,PHP
Jean,Pottier,Reims,France,2019,PHP
Philippe,Ribeiro,Reims,France,2019,PHP
Émile,Perret,Reims,France,2019,PHP
Nicolas,Guyon,Strasbourg,France,2019,PHP
Manon,Clement,Strasbourg,France,2019,PHP
Émile,Dumas,Strasbourg,France,2019,PHP
Henri,Carlier,Strasbourg,France,2019,PHP
Dominique,"Da Silva",Strasbourg,France,2019,PHP
Yves,Blin,Strasbourg,France,2019,PHP
David,Dupuis,Strasbourg,France,2019,PHP
Susanne,Lucas,Toulouse,France,2019,PHP
Roger,Garcia,Toulouse,France,2019,PHP
Isaac,Martineau,Toulouse,France,2019,PHP
Éléonore,Laroche,Toulouse,France,2019,PHP
Marguerite,Bertin,Toulouse,France,2019,PHP
Odette,Carlier,Toulouse,France,2019,PHP
Joseph,Rodriguez,Toulouse,France,2019,PHP
Camille,Raymond,Toulouse,France,2019,PHP
Anastasie,Roux,Toulouse,France,2019,PHP
Richard,Rodrigues,Toulouse,France,2019,PHP
Julie,Perez,Tours,France,2019,PHP
Zoé,Vasseur,Tours,France,2019,PHP
Anaïs,Lebon,Tours,France,2019,PHP
Henri,Riviere,Tours,France,2019,PHP
Françoise,Godard,Tours,France,2019,PHP
Nikola,Bischoff,Berlin,Germany,2019,PHP
Wolf-Dieter,Kessler,Berlin,Germany,2019,PHP
Hermine,Albers,Berlin,Germany,2019,PHP
Leonore,Schütze,Berlin,Germany,2019,PHP
Ria,Krauß,Berlin,Germany,2019,PHP
Paula,Reimer,Berlin,Germany,2019,PHP
Roger,Strobel,Berlin,Germany,2019,PHP
Silvio,Wilhelm,Berlin,Germany,2019,PHP
Dylan,Wauters,Brussels,Belgium,2019,PHP
Lina,Hendrickx,Brussels,Belgium,2019,PHP
Eva,Christiaens,Brussels,Belgium,2019,PHP
Lena,Vermeiren,Brussels,Belgium,2019,PHP
Charlotte,Verstraete,Brussels,Belgium,2019,PHP
Finn,Lecocq,Brussels,Belgium,2019,PHP
Raphaël,Piron,Brussels,Belgium,2019,PHP
Chloé,Delfosse,Brussels,Belgium,2019,PHP
Luca,Descamps,Brussels,Belgium,2019,PHP
Adelaida,Cosma,Bucharest,Romania,2019,PHP
Carmen,Petcu,Bucharest,Romania,2019,PHP
Nora,Moraru,Bucharest,Romania,2019,PHP
Zaraza,Lazar,Bucharest,Romania,2019,PHP
Tudor,Florea,Bucharest,Romania,2019,PHP
Xenia,Man,Bucharest,Romania,2019,PHP
Nora,Marin,Bucharest,Romania,2019,PHP
Rafila,Crisan,Bucharest,Romania,2019,PHP
Bárbara,Gomes,Lisbon,Portugal,2019,PHP
Eva,Tavares,Lisbon,Portugal,2019,PHP
Gil,Matos,Lisbon,Portugal,2019,PHP
Marta,Carneiro,Lisbon,Portugal,2019,PHP
Eva,Lopes,Lisbon,Portugal,2019,PHP
Vicente,Neves,Lisbon,Portugal,2019,PHP
Mitchell,Walker,London,"United Kingdom",2019,PHP
Jeffery,Tremblay,London,"United Kingdom",2019,PHP
Vena,Kunde,London,"United Kingdom",2019,PHP
Gerda,King,London,"United Kingdom",2019,PHP
Manley,Rempel,London,"United Kingdom",2019,PHP
Stefan,Bauch,London,"United Kingdom",2019,PHP
Joseph,Terry,London,"United Kingdom",2019,PHP
Virginie,Brakus,London,"United Kingdom",2019,PHP
Guillermo,Delapaz,Madrid,Spain,2019,PHP
Angela,Lorenzo,Madrid,Spain,2019,PHP
Rafael,Toledo,Madrid,Spain,2019,PHP
Sofía,Mascareñas,Madrid,Spain,2019,PHP
Víctor,Véliz,Madrid,Spain,2019,PHP
Nora,Alfonso,Madrid,Spain,2019,PHP
Mireia,Delatorre,Madrid,Spain,2019,PHP
David,Vergara,Madrid,Spain,2019,PHP
